;;;;;;;;Indice ;;;;;;;;
;;;;;;;;;;;;;;;;
 Período ;;Quito ;;;Guayaquil ;;;Cuenca ;;;Machala ;;;Ambato ;;
;;Incidencia (1);Brecha (1);Severidad  (1);Incidencia (1);Brecha (1);Severidad  (1);Incidencia (1);Brecha (1);Severidad  (1);Incidencia (1);Brecha (1);Severidad  (1);Incidencia (1);Brecha (1);Severidad  (1)
Junio ;2007;3.4;1.1;0.5;6.1;2;0.9;3.3;1.6;1;6.8;2.3;1.2;3.7;1.3;0.8
;2008;1.9;0.4;0.2;5.1;1.1;0.4;3.2;0.8;0.4;3.4;0.9;0.4;4;1.1;0.4
;2009;3.2;1.2;0.6;4;1.2;0.6;2.6;0.8;0.4;4;1.2;0.6;2.6;0.8;0.3
;2010;4;1.4;0.8;5.8;1.6;0.8;3.4;1.2;0.5;6.9;1.8;0.7;3.6;1.2;0.6
;2011;2.9;0.6;0.2;3.3;0.7;0.2;3;0.9;0.4;3.4;0.7;0.2;2.8;0.9;0.4
;2012;2.3;0.7;0.3;1.3;0.3;0.1;1.8;0.3;0.1;1.3;0.2;0;2;0.7;0.3
;2013;2.1;0.8;0.5;3.9;0.7;0.3;1.4;0.4;0.2;3.2;1;0.5;3.9;1.2;0.5
;2014;1.7;0.5;0.2;1.6;0.4;0.2;0.6;0.1;0;2.9;0.7;0.3;2.3;0.6;0.3
;2015;1.1;0.5;0.3;1.2;0.2;0.1;0.8;0.3;0.2;2.1;0.6;0.2;1.7;0.5;0.2
;2016;1.7;0.6;0.3;1.5;0.3;0.1;0.7;0.1;0;1.5;0.4;0.1;4;0.9;0.3
;2017;1.9;0.5;0.2;1.9;0.5;0.2;1.7;0.5;0.2;2.1;0.5;0.2;4;1;0.4
;2018;4.6;1.6;0.9;2.9;0.9;0.6;0.2;0;0;2.6;0.8;0.3;1.9;1;0.7
;2019;3.6;1.1;0.5;1.1;0.3;0.2;0.5;0.1;0;3.7;1.4;0.7;1.7;0.8;0.5
Diciembre;2007;3.3;1;0.4;5.6;2.2;1.1;2.9;0.9;0.5;7.6;2.3;0.9;6.1;2;0.9
;2008;2.5;0.9;0.5;2.9;0.6;0.2;2.5;0.4;0.1;3.4;0.8;0.3;2.4;0.7;0.3
;2009;4.2;1.6;0.8;4;1;0.4;3.7;1.3;0.7;4.1;0.9;0.4;5.2;1.2;0.4
;2010;3.2;1.1;0.6;3;0.7;0.3;2.1;0.6;0.3;6.8;1.6;0.6;3.6;1;0.4
;2011;2.1;0.6;0.3;1.9;0.6;0.3;1.6;0.4;0.1;2.5;0.5;0.2;2.4;0.5;0.2
;2012;2.3;1;0.6;1.3;0.2;0.1;1.5;0.4;0.2;0.8;0.1;0;1.5;0.5;0.2
;2013;2.4;0.8;0.4;2.5;0.7;0.3;0.8;0.2;0.1;2.5;0.5;0.2;1.3;0.4;0.2
;2014;1.6;0.7;0.4;1.5;0.5;0.2;2.3;0.7;0.3;3.1;0.7;0.2;2.5;0.7;0.3
;2015;2.7;1.1;0.5;1.3;0.4;0.2;0.8;0.1;0;2.4;0.8;0.4;1.7;0.4;0.2
;2016;3.5;1.5;0.9;2.4;0.7;0.3;1.5;0.4;0.2;2.5;0.8;0.4;4.7;1.4;0.7
;2017;2.3;0.7;0.4;1.3;0.6;0.4;0.9;0.5;0.3;2.7;0.7;0.2;3.6;1.7;1.2
;2018;2.4;0.7;0.3;1.9;0.4;0.2;0.8;0.3;0.1;2;0.5;0.1;2.2;0.9;0.5
;2019;2.8;1;0.5;1.4;0.4;0.2;0.6;0.3;0.1;2.8;1.1;0.6;1.1;0.2;0.1
;;;;;;;;;;;;;;;;
Fuente: Encuesta Nacional de Empleo. Desempleo y Subempleo - ENEMDU.;;;;;;;;;;;;;;;;
Notas:  (1) Los datos se encuentran expresados en porcentajes.;;;;;;;;;;;;;;;;
